statement,explanation,label,input_text
A dog plays volleyball,Dogs are not wild animals,0,A dog plays volleyball Dogs are not wild animals
A dog plays volleyball,Humans trust dogs,0,A dog plays volleyball Humans trust dogs
Eggs eat kis on Easter.,Easter has a lot of eggs.,0,Eggs eat kis on Easter. Easter has a lot of eggs.
Eggs eat kis on Easter.,No egg eat kids.,1,Eggs eat kis on Easter. No egg eat kids.
Eggs eat kis on Easter.,Eggs are made for easter.,0,Eggs eat kis on Easter. Eggs are made for easter.
An employee can price goods,An owner serve foods to employees,0,An employee can price goods An owner serve foods to employees
An employee can price goods,Owners always stand and sell goods,0,An employee can price goods Owners always stand and sell goods
An employee can price goods,Only owner could price the goods,1,An employee can price goods Only owner could price the goods
she wear hat in the hand,hat usually black in colour and bangles are in different colours,0,she wear hat in the hand hat usually black in colour and bangles are in different colours
she wear hat in the hand,hat usually wear on the head,1,she wear hat in the hand hat usually wear on the head
she wear hat in the hand,hat will be big in size,0,she wear hat in the hand hat will be big in size
Roses buds  eat caterpillars,Rose buds are edible while caterpillars aren't,0,Roses buds  eat caterpillars Rose buds are edible while caterpillars aren't
Roses buds  eat caterpillars,Rose buds bloom and caterpillars crawl,0,Roses buds  eat caterpillars Rose buds bloom and caterpillars crawl
Roses buds  eat caterpillars,Caterpillars have mouths while rose buds don't,1,Roses buds  eat caterpillars Caterpillars have mouths while rose buds don't
the computer broke down and the doctor fixed it,the technician heals people and the doctor heals machines,0,the computer broke down and the doctor fixed it the technician heals people and the doctor heals machines
the computer broke down and the doctor fixed it,the technician is a doctor's friend and fixes the computer,0,the computer broke down and the doctor fixed it the technician is a doctor's friend and fixes the computer
the computer broke down and the doctor fixed it,a doctor does not fix computers,1,the computer broke down and the doctor fixed it a doctor does not fix computers
I drank bleach.,Bleach is a denser liquid than water.,0,I drank bleach. Bleach is a denser liquid than water.
I drank bleach.,Bleach is used for cleaning.,1,I drank bleach. Bleach is used for cleaning.
I drank bleach.,Bleach is not stored in the kitchen.,0,I drank bleach. Bleach is not stored in the kitchen.
I usually wear a shoe on my head,Cap looks good on the head,0,I usually wear a shoe on my head Cap looks good on the head
I usually wear a shoe on my head,Shoe can be worn in feet only,1,I usually wear a shoe on my head Shoe can be worn in feet only
I usually wear a shoe on my head,We wear different things on the head,0,I usually wear a shoe on my head We wear different things on the head
My brother placed the nuclear reactor inside the box.,Nuclear reactor can be contained in a container.,0,My brother placed the nuclear reactor inside the box. Nuclear reactor can be contained in a container.
My brother placed the nuclear reactor inside the box.,Nuclear reactor is contained in a place.,0,My brother placed the nuclear reactor inside the box. Nuclear reactor is contained in a place.
My brother placed the nuclear reactor inside the box.,Nuclear reactor is way too big to be placed in a box.,1,My brother placed the nuclear reactor inside the box. Nuclear reactor is way too big to be placed in a box.
She took the chair for a walk,Chairs can't walk,1,She took the chair for a walk Chairs can't walk
She took the chair for a walk,Chairs can only go for runs,0,She took the chair for a walk Chairs can only go for runs
She took the chair for a walk,A chair is red,0,She took the chair for a walk A chair is red
He mowed the carpet,grass is usually green while carpets are usually not,0,He mowed the carpet grass is usually green while carpets are usually not
He mowed the carpet,"lawnmowers are for cutting grass, not carpets",1,"He mowed the carpet lawnmowers are for cutting grass, not carpets"
He mowed the carpet,carpet is too short to mow,0,He mowed the carpet carpet is too short to mow
I dress an elephant,An elephant is a wild animal,1,I dress an elephant An elephant is a wild animal
I dress an elephant,An elephant is grey,0,I dress an elephant An elephant is grey
I dress an elephant,An elephant has a proboscis,0,I dress an elephant An elephant has a proboscis
I cook football very well,A football is thing to play with not a thing to eat,1,I cook football very well A football is thing to play with not a thing to eat
I cook football very well,A football kept on the table looks good,0,I cook football very well A football kept on the table looks good
I cook football very well,A football and a watermelon is almost equal in size,0,I cook football very well A football and a watermelon is almost equal in size
Car is a very good mode of water transport,A car and a boat is a good mode of transport,0,Car is a very good mode of water transport A car and a boat is a good mode of transport
Car is a very good mode of water transport,Car is a mode of land of transport,1,Car is a very good mode of water transport Car is a mode of land of transport
Car is a very good mode of water transport,I either use a boat and a car to travel,0,Car is a very good mode of water transport I either use a boat and a car to travel
a dog is taken to a pool after getting sick,the dogs get sick and the pools clean,0,a dog is taken to a pool after getting sick the dogs get sick and the pools clean
a dog is taken to a pool after getting sick,a pool has no medical attention for animals,1,a dog is taken to a pool after getting sick a pool has no medical attention for animals
a dog is taken to a pool after getting sick,a dog cannot spread a pool,0,a dog is taken to a pool after getting sick a dog cannot spread a pool
She rode her bike to the moon.,Her bike is not the same color as the moon.,0,She rode her bike to the moon. Her bike is not the same color as the moon.
She rode her bike to the moon.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",1,"She rode her bike to the moon. The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon."
She rode her bike to the moon.,She did not have permission from her parents to ride her bike that far away from home.,0,She rode her bike to the moon. She did not have permission from her parents to ride her bike that far away from home.
A boy shuts down,A boy is full of energy,0,A boy shuts down A boy is full of energy
A boy shuts down,A boy is a male,0,A boy shuts down A boy is a male
A boy shuts down,"A boy can fall asleep, but a boy cannot shut down",1,"A boy shuts down A boy can fall asleep, but a boy cannot shut down"
I play games on my Gas stove,Gas stove a very important equipment used in the house,0,I play games on my Gas stove Gas stove a very important equipment used in the house
I play games on my Gas stove,Gas stove is frequently used in the house,0,I play games on my Gas stove Gas stove is frequently used in the house
I play games on my Gas stove,Gas stove is equipment to cook food,1,I play games on my Gas stove Gas stove is equipment to cook food
Stars read me,Stars has not eyes,1,Stars read me Stars has not eyes
Stars read me,Stars are too big,0,Stars read me Stars are too big
Stars read me,Stars are too far,0,Stars read me Stars are too far
A boy turns off the door,A door cannot turn off a light,0,A boy turns off the door A door cannot turn off a light
A boy turns off the door,A door can be closed but a door cannot be turned off,1,A boy turns off the door A door can be closed but a door cannot be turned off
A boy turns off the door,A light cannot close the door,0,A boy turns off the door A light cannot close the door
He read a very long window King Tut.,"Books have pages and words to read, while windows do not and serve a different purpose.",1,"He read a very long window King Tut. Books have pages and words to read, while windows do not and serve a different purpose."
He read a very long window King Tut.,Glass windows were invented after King Tut was born.,0,He read a very long window King Tut. Glass windows were invented after King Tut was born.
He read a very long window King Tut.,"Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.",0,"He read a very long window King Tut. Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot."
He lost his phone in the mouth of a griffin.,A griffin would find that metal of a phone disgusting and not want to eat it.,0,He lost his phone in the mouth of a griffin. A griffin would find that metal of a phone disgusting and not want to eat it.
He lost his phone in the mouth of a griffin.,A griffin always shares what it eats with it's baby griffins.,0,He lost his phone in the mouth of a griffin. A griffin always shares what it eats with it's baby griffins.
He lost his phone in the mouth of a griffin.,A griffin is a mythical creature that does not exist.,1,He lost his phone in the mouth of a griffin. A griffin is a mythical creature that does not exist.
he kept a chair inside the fridge,fridge store vegetables and fruits,0,he kept a chair inside the fridge fridge store vegetables and fruits
he kept a chair inside the fridge,chair is bigger than the fridge,1,he kept a chair inside the fridge chair is bigger than the fridge
he kept a chair inside the fridge,chair used to sit,0,he kept a chair inside the fridge chair used to sit
I use internet on my radio,We get signal on a radio,0,I use internet on my radio We get signal on a radio
I use internet on my radio,Radio is a great mode of communication,0,I use internet on my radio Radio is a great mode of communication
I use internet on my radio,Internet can not be used on a radio,1,I use internet on my radio Internet can not be used on a radio
She drove her children to the moon.,Children can't breathe on the moon.,0,She drove her children to the moon. Children can't breathe on the moon.
She drove her children to the moon.,The moon has no swing sets.,0,She drove her children to the moon. The moon has no swing sets.
She drove her children to the moon.,The moon is not reachable by car.,1,She drove her children to the moon. The moon is not reachable by car.
She parachuted into the grocery store from a plane.,"If you jumped from a plane to get groceries, you would have no way to get them home.",1,"She parachuted into the grocery store from a plane. If you jumped from a plane to get groceries, you would have no way to get them home."
She parachuted into the grocery store from a plane.,It's difficult to park a plane in a grocery store parking lot.,0,She parachuted into the grocery store from a plane. It's difficult to park a plane in a grocery store parking lot.
She parachuted into the grocery store from a plane.,Grocery stores do not carry parachutes.,0,She parachuted into the grocery store from a plane. Grocery stores do not carry parachutes.
The fish swam in the desert.,Fish do not take vacations to the desert.,0,The fish swam in the desert. Fish do not take vacations to the desert.
The fish swam in the desert.,"Fish swim in water that is blue or green, while a desert is yellow sand",0,"The fish swam in the desert. Fish swim in water that is blue or green, while a desert is yellow sand"
The fish swam in the desert.,"A desert has no water, so a fish could not swim there.",1,"The fish swam in the desert. A desert has no water, so a fish could not swim there."
There was a dead ice creature walking in the snow.,Dead ice creatures do not walk on ice.,0,There was a dead ice creature walking in the snow. Dead ice creatures do not walk on ice.
There was a dead ice creature walking in the snow.,Dead ice creatures do not walk.,0,There was a dead ice creature walking in the snow. Dead ice creatures do not walk.
There was a dead ice creature walking in the snow.,Dead ice creatures do not exist.,1,There was a dead ice creature walking in the snow. Dead ice creatures do not exist.
I swim under a tap,Tap a good source of water,0,I swim under a tap Tap a good source of water
I swim under a tap,Tap water is generally used to take bath,0,I swim under a tap Tap water is generally used to take bath
I swim under a tap,There are not enough water under a tap to swim,1,I swim under a tap There are not enough water under a tap to swim
A person eats mountains,A mountain is much bigger than a person,1,A person eats mountains A mountain is much bigger than a person
A person eats mountains,Mountains are usually cold while a person is usually hot,0,A person eats mountains Mountains are usually cold while a person is usually hot
A person eats mountains,Mountains cannot eat a person,0,A person eats mountains Mountains cannot eat a person
Jane saw a giraffe in her purse.,A purse is too small for a giraffe to be in.,1,Jane saw a giraffe in her purse. A purse is too small for a giraffe to be in.
Jane saw a giraffe in her purse.,The giraffe's body pattern clashes with her purple leather purse.,0,Jane saw a giraffe in her purse. The giraffe's body pattern clashes with her purple leather purse.
Jane saw a giraffe in her purse.,Jane's dad does not allow her to have pets.,0,Jane saw a giraffe in her purse. Jane's dad does not allow her to have pets.
We use book to know the time,A book and a clock is very essential in our daily life,0,We use book to know the time A book and a clock is very essential in our daily life
We use book to know the time,A book is used to study,1,We use book to know the time A book is used to study
We use book to know the time,A book plays a very important role in our life,0,We use book to know the time A book plays a very important role in our life
I was playing basketball with a rock,"You need a bouncing objet for playing basketball, and a rock does not bounce",1,"I was playing basketball with a rock You need a bouncing objet for playing basketball, and a rock does not bounce"
I was playing basketball with a rock,Rock are usually opaque and the ball is orange,0,I was playing basketball with a rock Rock are usually opaque and the ball is orange
I was playing basketball with a rock,People really love to watch NBA,0,I was playing basketball with a rock People really love to watch NBA
Mary took her moth for a walk,moths like flying towards the light,0,Mary took her moth for a walk moths like flying towards the light
Mary took her moth for a walk,it is unusual to keep a moth as a pet,1,Mary took her moth for a walk it is unusual to keep a moth as a pet
Mary took her moth for a walk,somebody stepped on the moth and crushed it,0,Mary took her moth for a walk somebody stepped on the moth and crushed it
I like to listen colours as I commute,Colours are not usually easy to find in dark,0,I like to listen colours as I commute Colours are not usually easy to find in dark
I like to listen colours as I commute,You should not run as you commute,0,I like to listen colours as I commute You should not run as you commute
I like to listen colours as I commute,Colours cannot being listened,1,I like to listen colours as I commute Colours cannot being listened
I run in the air,We can travel using both air and the ground,0,I run in the air We can travel using both air and the ground
I run in the air,Walking is not possible in the air,1,I run in the air Walking is not possible in the air
I run in the air,Birds fly in the air,0,I run in the air Birds fly in the air
There was a blonde woman riding a dragon.,Blond women don't ride dragons.,0,There was a blonde woman riding a dragon. Blond women don't ride dragons.
There was a blonde woman riding a dragon.,Usually women don't ride dragons.,0,There was a blonde woman riding a dragon. Usually women don't ride dragons.
There was a blonde woman riding a dragon.,Dragons do not exist.,1,There was a blonde woman riding a dragon. Dragons do not exist.
He ate the book,Book does not taste good,0,He ate the book Book does not taste good
He ate the book,He does not like book,0,He ate the book He does not like book
He ate the book,Book is not a food,1,He ate the book Book is not a food
Jake ate artificial mango,Mango are sweet but bitter too,0,Jake ate artificial mango Mango are sweet but bitter too
Jake ate artificial mango,Human can't eat artificial made fruits,1,Jake ate artificial mango Human can't eat artificial made fruits
Jake ate artificial mango,Mango cannot eat jack,0,Jake ate artificial mango Mango cannot eat jack
Baby is taking dictionary,Dictionary is colour full,0,Baby is taking dictionary Dictionary is colour full
Baby is taking dictionary,It is too heavy,1,Baby is taking dictionary It is too heavy
Baby is taking dictionary,Dictionary can not  take a baby,0,Baby is taking dictionary Dictionary can not  take a baby
the school was open for summer,summertime is typically vacation time for school,1,the school was open for summer summertime is typically vacation time for school
the school was open for summer,the temperature outside is too hot to learn in the summer,0,the school was open for summer the temperature outside is too hot to learn in the summer
the school was open for summer,schools wait until the first leaf falls in autumn to open,0,the school was open for summer schools wait until the first leaf falls in autumn to open
The chocolate cried,Chocolate is a melting solid therefore cannot cry,1,The chocolate cried Chocolate is a melting solid therefore cannot cry
The chocolate cried,The chocolate has no eyes to cry,0,The chocolate cried The chocolate has no eyes to cry
The chocolate cried,The chocolate was too cold,0,The chocolate cried The chocolate was too cold
There are barbecues in the middle of a television program,barbecues can be shown in commercials,0,There are barbecues in the middle of a television program barbecues can be shown in commercials
There are barbecues in the middle of a television program,barbecues and commercials are sold to us,0,There are barbecues in the middle of a television program barbecues and commercials are sold to us
There are barbecues in the middle of a television program,barbecues are a physical object not like commercials,1,There are barbecues in the middle of a television program barbecues are a physical object not like commercials
You never puke after getting drunk,We all puke without alcohol,0,You never puke after getting drunk We all puke without alcohol
You never puke after getting drunk,Too much alcohol in our organism makes us puke,1,You never puke after getting drunk Too much alcohol in our organism makes us puke
You never puke after getting drunk,There are drinks with no alcohol,0,You never puke after getting drunk There are drinks with no alcohol
You can use a jellyfish to hold checks.,A jellyfish is a sea creature not intended to hold anything.,1,You can use a jellyfish to hold checks. A jellyfish is a sea creature not intended to hold anything.
You can use a jellyfish to hold checks.,Jellyfish are soft and checks are made of paper.,0,You can use a jellyfish to hold checks. Jellyfish are soft and checks are made of paper.
You can use a jellyfish to hold checks.,Jellyfish don't eat checks.,0,You can use a jellyfish to hold checks. Jellyfish don't eat checks.
Lawyers are people who play characters in television or theatre,many lawyers do not have time to watch the television,0,Lawyers are people who play characters in television or theatre many lawyers do not have time to watch the television
Lawyers are people who play characters in television or theatre,lawyers are people who provide legal aid,1,Lawyers are people who play characters in television or theatre lawyers are people who provide legal aid
Lawyers are people who play characters in television or theatre,some characters in television or theatre are lawyers,0,Lawyers are people who play characters in television or theatre some characters in television or theatre are lawyers
A small dog is called a kitten,kittens are smaller than dogs,0,A small dog is called a kitten kittens are smaller than dogs
A small dog is called a kitten,a kitten cannot eat dog food,0,A small dog is called a kitten a kitten cannot eat dog food
A small dog is called a kitten,a kitten is a small cat,1,A small dog is called a kitten a kitten is a small cat
My daughter always takes bath in a kitchen sink and avoids bath tub,Tap in kitchen sink can be used to wash anything,0,My daughter always takes bath in a kitchen sink and avoids bath tub Tap in kitchen sink can be used to wash anything
My daughter always takes bath in a kitchen sink and avoids bath tub,Kitchen sink is not big enough to take bath in it,1,My daughter always takes bath in a kitchen sink and avoids bath tub Kitchen sink is not big enough to take bath in it
My daughter always takes bath in a kitchen sink and avoids bath tub,Most kitchens are fit with both hot and cold water taps,0,My daughter always takes bath in a kitchen sink and avoids bath tub Most kitchens are fit with both hot and cold water taps
He killed him with a programming language,Programming language is not a weapon,1,He killed him with a programming language Programming language is not a weapon
He killed him with a programming language,Programming languages are dangerous,0,He killed him with a programming language Programming languages are dangerous
He killed him with a programming language,He does not like programming language,0,He killed him with a programming language He does not like programming language
The cinema shared popcorn with them,You can't share food with an establishment,1,The cinema shared popcorn with them You can't share food with an establishment
The cinema shared popcorn with them,popcorn is for feeding chickens,0,The cinema shared popcorn with them popcorn is for feeding chickens
The cinema shared popcorn with them,popcorn is only fictional,0,The cinema shared popcorn with them popcorn is only fictional
Rotten food smells nice.,Rotten food does not wash itself and so it smells bad.,0,Rotten food smells nice. Rotten food does not wash itself and so it smells bad.
Rotten food smells nice.,Rotten food can not use deodorant and so it smells nasty.,0,Rotten food smells nice. Rotten food can not use deodorant and so it smells nasty.
Rotten food smells nice.,Rotten food is decomposing and producing toxic smelly gasses.,1,Rotten food smells nice. Rotten food is decomposing and producing toxic smelly gasses.
An actor wear a toaster.,Toasters are not in fashion.,0,An actor wear a toaster. Toasters are not in fashion.
An actor wear a toaster.,Toasters are not clothing,1,An actor wear a toaster. Toasters are not clothing
An actor wear a toaster.,Toasters are too hot while costumes are not.,0,An actor wear a toaster. Toasters are too hot while costumes are not.
The man slept on the volcano.,Beds are generally comfortable while volcanoes cause destruction.,1,The man slept on the volcano. Beds are generally comfortable while volcanoes cause destruction.
The man slept on the volcano.,A volcano is much larger than a bed.,0,The man slept on the volcano. A volcano is much larger than a bed.
The man slept on the volcano.,The bed cannot be on the volcano.,0,The man slept on the volcano. The bed cannot be on the volcano.
She spoke to a ghost at the door.,Ghosts are white while the doors are yellow.,0,She spoke to a ghost at the door. Ghosts are white while the doors are yellow.
She spoke to a ghost at the door.,Ghosts don't exist.,1,She spoke to a ghost at the door. Ghosts don't exist.
She spoke to a ghost at the door.,Ghosts can't talk to the living.,0,She spoke to a ghost at the door. Ghosts can't talk to the living.
You will never see a teacher inside of a school.,Teachers are legally required to always be inside of a school.,0,You will never see a teacher inside of a school. Teachers are legally required to always be inside of a school.
You will never see a teacher inside of a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,1,You will never see a teacher inside of a school. A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.
You will never see a teacher inside of a school.,Teachers live inside of schools and have their own homes that they stay in inside of the school,0,You will never see a teacher inside of a school. Teachers live inside of schools and have their own homes that they stay in inside of the school
She cuts a pizza with an advertising board.,Advertising signs are usually square while the pizzas are round.,0,She cuts a pizza with an advertising board. Advertising signs are usually square while the pizzas are round.
She cuts a pizza with an advertising board.,An advertising board cannot eat a pizza.,0,She cuts a pizza with an advertising board. An advertising board cannot eat a pizza.
She cuts a pizza with an advertising board.,An advertising board is much larger than a pizza.,1,She cuts a pizza with an advertising board. An advertising board is much larger than a pizza.
They built the sun,The sun is a natural object created from space,1,They built the sun The sun is a natural object created from space
They built the sun,The sun is bigger than the house,0,They built the sun The sun is bigger than the house
They built the sun,The sun causes people to wear sunscreen at the beach,0,They built the sun The sun causes people to wear sunscreen at the beach
There was a chicken flying.,Chickens prefer to stay on the floor.,0,There was a chicken flying. Chickens prefer to stay on the floor.
There was a chicken flying.,Chickens do not fly.,1,There was a chicken flying. Chickens do not fly.
There was a chicken flying.,It is not common to see chickens flying.,0,There was a chicken flying. It is not common to see chickens flying.
He played the cow very well,Cows are not vehicles,0,He played the cow very well Cows are not vehicles
He played the cow very well,Cows are not musical instruments,1,He played the cow very well Cows are not musical instruments
He played the cow very well,Cows are not sentient,0,He played the cow very well Cows are not sentient
You are still alive if you do not have a heartbeat.,All humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.,0,You are still alive if you do not have a heartbeat. All humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.
You are still alive if you do not have a heartbeat.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,1,You are still alive if you do not have a heartbeat. Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.
You are still alive if you do not have a heartbeat.,People that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.,0,You are still alive if you do not have a heartbeat. People that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.
the trampoline jumped on him,a trampoline is not sentient and cannot jump,1,the trampoline jumped on him a trampoline is not sentient and cannot jump
the trampoline jumped on him,trampolines can say how high to jump,0,the trampoline jumped on him trampolines can say how high to jump
the trampoline jumped on him,the man is a trampoline,0,the trampoline jumped on him the man is a trampoline
Georgia Tech trains dragons,Dragons are not a creature that exists,1,Georgia Tech trains dragons Dragons are not a creature that exists
Georgia Tech trains dragons,Dragons are too big for the buildings at Georgia Tech.,0,Georgia Tech trains dragons Dragons are too big for the buildings at Georgia Tech.
Georgia Tech trains dragons,Dragons have more tails than people do.,0,Georgia Tech trains dragons Dragons have more tails than people do.
She was going to school in a lunch box,Lunch box is a container to carry food,1,She was going to school in a lunch box Lunch box is a container to carry food
She was going to school in a lunch box,Lunch box is in blue color and she does not like blue color,0,She was going to school in a lunch box Lunch box is in blue color and she does not like blue color
She was going to school in a lunch box,The lunch box was full,0,She was going to school in a lunch box The lunch box was full
The moon gets fixed and that's how it returns to full,The moon is big enough to hide all sunlight from Earth because the sun and it's shapes,0,The moon gets fixed and that's how it returns to full The moon is big enough to hide all sunlight from Earth because the sun and it's shapes
The moon gets fixed and that's how it returns to full,The sides of the moon are made of cheese and can be eaten,0,The moon gets fixed and that's how it returns to full The sides of the moon are made of cheese and can be eaten
The moon gets fixed and that's how it returns to full,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us",1,"The moon gets fixed and that's how it returns to full The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us"
You are cooking the music,I like cooking elaborated recipes,0,You are cooking the music I like cooking elaborated recipes
You are cooking the music,Music should be maintained at a decent volume to not to disturb the neighbors,0,You are cooking the music Music should be maintained at a decent volume to not to disturb the neighbors
You are cooking the music,Music is not cookable,1,You are cooking the music Music is not cookable
The storage in every computer is unlimited.,A computer gets tired when there are too many files so storage is not unlimited.,0,The storage in every computer is unlimited. A computer gets tired when there are too many files so storage is not unlimited.
The storage in every computer is unlimited.,Computers are small and files are big so a computer can only fit a small amount of files.,0,The storage in every computer is unlimited. Computers are small and files are big so a computer can only fit a small amount of files.
The storage in every computer is unlimited.,A computer has limited space in a hard-rive so the storage cannot be unlimited.,1,The storage in every computer is unlimited. A computer has limited space in a hard-rive so the storage cannot be unlimited.
People only cry when they are angry.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,1,People only cry when they are angry. Crying is a natural response to being sad and many people cry when they are sad to express the feeling.
People only cry when they are angry.,It is impossible to cry when you are angry.,0,People only cry when they are angry. It is impossible to cry when you are angry.
People only cry when they are angry.,No one has ever cried when they are angry.,0,People only cry when they are angry. No one has ever cried when they are angry.
Most people like to have hamburgers and pudding in the morning.,Hamburgers frequently have lettuce on them and pudding is often chocolate flavored.,0,Most people like to have hamburgers and pudding in the morning. Hamburgers frequently have lettuce on them and pudding is often chocolate flavored.
Most people like to have hamburgers and pudding in the morning.,Hamburgers and pudding both contain carbohydrates.,0,Most people like to have hamburgers and pudding in the morning. Hamburgers and pudding both contain carbohydrates.
Most people like to have hamburgers and pudding in the morning.,"Hamburgers are a lunch or dinner food, and pudding is a dessert.",1,"Most people like to have hamburgers and pudding in the morning. Hamburgers are a lunch or dinner food, and pudding is a dessert."
Frank hit Will with a pillow causing him pain,A pillow is bigger than a stone,0,Frank hit Will with a pillow causing him pain A pillow is bigger than a stone
Frank hit Will with a pillow causing him pain,A pillow is softer than a stone and does not cause injuries,1,Frank hit Will with a pillow causing him pain A pillow is softer than a stone and does not cause injuries
Frank hit Will with a pillow causing him pain,A pillow and a stone can be white,0,Frank hit Will with a pillow causing him pain A pillow and a stone can be white
he shaved his teeth,it's illegal to shave teeth,0,he shaved his teeth it's illegal to shave teeth
he shaved his teeth,there is no hair on teeth,1,he shaved his teeth there is no hair on teeth
he shaved his teeth,teeth are not accessible enough to be shaved,0,he shaved his teeth teeth are not accessible enough to be shaved
She put mustard on a star.,People pay money to name different stars.,0,She put mustard on a star. People pay money to name different stars.
She put mustard on a star.,Clouds make it hard to see stars in the sky.,0,She put mustard on a star. Clouds make it hard to see stars in the sky.
She put mustard on a star.,A star is too far away for someone to but a condiment on.,1,She put mustard on a star. A star is too far away for someone to but a condiment on.
He was playing fridge,Fridge is a tool and is not a musical instrument,1,He was playing fridge Fridge is a tool and is not a musical instrument
He was playing fridge,He does not know fridge,0,He was playing fridge He does not know fridge
He was playing fridge,Fridge is in gray color,0,He was playing fridge Fridge is in gray color
A person is not allowed to visit their relatives.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",1,"A person is not allowed to visit their relatives. It is a human right to visit a relative and there are no laws against it, so you can visit a relative."
A person is not allowed to visit their relatives.,It is legally required of you to visit your relatives.,0,A person is not allowed to visit their relatives. It is legally required of you to visit your relatives.
A person is not allowed to visit their relatives.,You are looked down upon if you do not visit relative and shamed upon.,0,A person is not allowed to visit their relatives. You are looked down upon if you do not visit relative and shamed upon.
Tight shoes are comfortable.,Tight shoes make walking unbearable.,1,Tight shoes are comfortable. Tight shoes make walking unbearable.
Tight shoes are comfortable.,Some people like shoes to be extremely tight.,0,Tight shoes are comfortable. Some people like shoes to be extremely tight.
Tight shoes are comfortable.,Tight shoes can be worn for many hours.,0,Tight shoes are comfortable. Tight shoes can be worn for many hours.
Low blood pressure is a hazardous way to diet and lose weight.,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",1,"Low blood pressure is a hazardous way to diet and lose weight. Lowering high blood pressure, and weight loss is the result of eating healthy and exercising."
Low blood pressure is a hazardous way to diet and lose weight.,Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,0,Low blood pressure is a hazardous way to diet and lose weight. Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.
Low blood pressure is a hazardous way to diet and lose weight.,Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.,0,Low blood pressure is a hazardous way to diet and lose weight. Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.
Plants can make computers,"Plants are all over the world, while computers are only in developed countries",0,"Plants can make computers Plants are all over the world, while computers are only in developed countries"
Plants can make computers,Computers are not organic products and are made by humans,1,Plants can make computers Computers are not organic products and are made by humans
